#,PCT Mile (NB),Name,Entry/Exit,Resupply,Landmark,Points of Odyssey,State,Description / Notes,Source
1,0,US/Mexico Border Monument (Southern Terminus),X,,X,Yes,CA,Official southern terminus of the PCT at the US-Mexico border near Campo.,PCTA / Halfmile
2,1.4,Campo,X,X,,,CA,"Small store, weekday bus service, post office.",Halfmile PCT Resupply & Town Notes (2023)
3,20,Lake Morena Village,X,X,,,CA,Convenience store/deli via Oak Shores Malt Shop; weekday bus service.,Halfmile PCT Resupply & Town Notes (2023)
4,41.5,Mount Laguna,X,X,X,,CA,"Lodge, store, post office; gateway to the Laguna Mountains / Anza-Borrego Desert high country.",Halfmile PCT Resupply & Town Notes (2023)
5,58.6,Anza-Borrego Desert / San Felipe Hills,,,X,,CA,Trail descends into desert terrain overlooking Anza-Borrego Desert State Park.,General PCT geography (Halfmile Trail Notes)
6,77.3,Scissors Crossing / Hwy 78 (Julian access),X,X,,,CA,"Highway crossing; hitch 12 mi W to Julian for restaurants, motels, grocery, post office.",Halfmile PCT Resupply & Town Notes (2023)
7,101.2,Montezuma Valley Rd / S22,X,X,,,CA,Road crossing; small market 4 mi E (rebuilt after 2021 fire).,Halfmile PCT Resupply & Town Notes (2023)
8,109.5,Warner Springs,X,X,,,CA,"Community resource center, post office, hot springs resort; Hwy 79 crossing.",Halfmile PCT Resupply & Town Notes (2023)
9,151.9,Paradise Valley Cafe / Hwy 74,X,X,,,CA,Cafe at highway crossing; gateway to Anza (6.8 mi SW).,Halfmile PCT Resupply & Town Notes (2023)
10,168.6,Hwy 74 / Spitler Peak alternate (Hemet Lake),X,,,,CA,High-snow-year alternate route access to Hemet Lake Market & Cafe.,Halfmile PCT Resupply & Town Notes (2023)
11,179.4,Devils Slide Trail (Idyllwild access),X,X,X,,CA,"Spur trail into San Jacinto Wilderness / Mt. San Jacinto (10,834 ft); Idyllwild is 5.2 mi W.",Halfmile PCT Resupply & Town Notes (2023)
12,205.5,San Gorgonio Pass / I-10,X,,X,,CA,"Interstate crossing at the base of the San Gorgonio Wilderness (San Bernardino Mtns' high point, 11,503 ft).",Halfmile PCT Trail Notes
13,209.5,Cabazon,X,X,,,CA,"Small community near I-10; store, ATM, post office.",Halfmile PCT Resupply & Town Notes (2023)
14,266.1,Hwy 18 (Big Bear Lake / Big Bear City access),X,X,X,Yes,CA,Gateway to Big Bear Lake and the San Bernardino Mountains high country.,Halfmile PCT Resupply & Town Notes (2023)
15,342,Cajon Pass / I-15,X,X,,,CA,"Major interstate crossing; McDonald's, gas station mini-mart, motel.",Halfmile PCT Resupply & Town Notes (2023)
16,369.4,"Acorn Trail / Hwy 2,3 (Wrightwood access)",X,X,X,,CA,Gateway to Mt. Baden-Powell and the San Gabriel Mountains (Angeles NF).,Halfmile PCT Resupply & Town Notes (2023)
17,444.3,Soledad Canyon Rd (Acton access),X,X,,,CA,Road crossing near the LA RV Resort (formerly Acton KOA); Metrolink commuter rail nearby.,Halfmile PCT Resupply & Town Notes (2023)
18,454.5,Agua Dulce,X,X,,,CA,PCT runs directly through town center; restaurants.,Halfmile PCT Resupply & Town Notes (2023)
19,485.7,Lake Hughes Rd,X,X,,,CA,"Road crossing; small store, post office 2.1 mi N.",Halfmile PCT Resupply & Town Notes (2023)
20,517.6,Hwy 138 (Hikertown),X,X,,,CA,Novelty hostel at highway crossing; gateway to the Mojave Desert aqueduct section.,Halfmile PCT Resupply & Town Notes (2023)
21,566.4,Tehachapi Pass / Hwy 58,X,X,X,,CA,"Wind-farm high pass; Tehachapi 9.2 mi W, Mojave 11.5 mi E.",Halfmile PCT Resupply & Town Notes (2023)
22,651.1,Walker Pass / Hwy 178,X,,,,CA,Highway crossing; gateway to Onyx and Lake Isabella resupply (17-37 mi W).,Halfmile PCT Trail Notes
23,653.2,Onyx / Lake Isabella / Ridgecrest access,,X,,Yes,CA,Multiple resupply options reachable from the Walker Pass area.,Halfmile PCT Resupply & Town Notes (2023)
24,703.4,Kennedy Meadows South / Sherman Pass Rd,X,X,X,,CA,"Traditional ""end of the desert, start of the Sierra"" milestone; bear-canister requirement begins here.",Halfmile PCT Resupply & Town Notes (2023)
25,745.7,Cottonwood Pass / Trail Pass (Lone Pine access),X,X,,,CA,High Sierra passes providing access to Lone Pine (22 mi E) and the Mt. Whitney region.,Halfmile PCT Resupply & Town Notes (2023)
26,766.3,Crabtree Meadow / Mt. Whitney spur trail,X,,X,Yes,CA,"Side trail (~8 mi RT) to the 14,505-ft summit of Mt. Whitney, the highest point in the contiguous US.",Halfmile PCT Trail Notes / Sequoia NP
27,774.6,Forester Pass,,,X,,CA,"Highest point directly on the PCT itself, 13,153 ft; CA/Sequoia-Kings Canyon NP boundary.",Halfmile PCT Trail Notes
28,790.3,Kearsarge Pass (Onion Valley / Independence-Bishop access),X,X,,,CA,"7.6-mi side trail over an 11,760-ft pass; most common Sierra resupply detour to Independence or Bishop.",Halfmile PCT Resupply & Town Notes (2023)
29,823,Kings Canyon National Park (Rae Lakes / Glen Pass),,,X,Yes,CA,PCT traverses the park's high alpine basins between Kearsarge and Muir Passes.,NPS / Halfmile PCT Trail Notes
30,838,Bishop Pass (South Lake access),X,,,,CA,Alternate high-Sierra exit to Bishop via South Lake trailhead.,Halfmile PCT Trail Notes
31,858.9,Muir Trail Ranch (Florence Lake spur),X,X,,,CA,Private guest ranch; JMT/PCT resupply drop point via pack-animal delivery.,Halfmile PCT Resupply & Town Notes (2023)
32,874.5,Bear Ridge Trail (Vermilion Valley Resort access),X,X,,,CA,Alternate access to VVR via trail or ferry at mile 878.7.,Halfmile PCT Resupply & Town Notes (2023)
33,906.5,Devils Postpile National Monument / Red's Meadow,X,X,X,Yes,CA,"Volcanic columnar basalt monument; pack station, cafe, hot-spring showers; shuttle to Mammoth Lakes.",Halfmile PCT Resupply & Town Notes (2023) / NPS
34,916,Minaret Summit Rd (Mammoth Mountain Ski Lodge),X,,,,CA,Road access 4.2 mi SE of the PCT.,Halfmile PCT Resupply & Town Notes (2023)
35,942.6,Donohue Pass (Yosemite NP boundary),,,X,,CA,PCT enters Yosemite National Park.,NPS / Halfmile PCT Trail Notes
