#,Fire Name,Year,Start Date,State,County/Area,Nearest Town,Nearest PCT Landmark,Approx. PCT Mile,Latitude,Longitude,Size (Acres),Size (sq mi),Cause / Notes,Structures Destroyed,Fatalities,Financial Damage (Reported),Data Confidence,Source,% of RI
149,August Complex,2020,2020-08-16,CA,Glenn/Tehama/Mendocino/Lake/Trinity/Shasta,Elk Creek / Stonyford,Mendocino NF core - far west of PCT; Shasta/Trinity edge closer,~670 and 720,39.9,-122.8,1032648,1505.170313,Lightning; 935 structures destroyed; 1 firefighter fatality; largest CA fire on record. Core of fire (Mendocino NF) is well west of PCT corridor; only the Trinity/Shasta county edge is potentially within 50 mi -- NEEDS DISTANCE VERIFICATION for PCT relevance,935,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,August Complex fire (Wikipedia),0.974220267
12,Dixie Fire,2021,2021-07-13,CA,Sierra Nevada / N. California,Greenville / Belden,"PCT crosses directly near Belden, Lassen NF",~mi 1330-1350,39.819,-121.419,963309,1505.170313,Tree fell on PG&E power distribution line,1329,1,1150000000,Largest single wildfire in CA history at time of writing.,See Source #12,0.974220267
206,Park Fire,2024,2024-07-24,CA,Butte/Tehama,Chico / Butte Meadows,"Lassen NF, directly closed PCT segment",~1270-1379,40.15,-121.55,429603,646.4328125,Arson; 709 structures destroyed (CAL FIRE Top-20 list); closed 109 miles of PCT (Bucks Summit mi 1270 to Old Station/CA-44 mi 1379); 4th-largest wildfire in California history,709,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE incident updates / Active NorCal / KRCR TV,0.4184031149
184,Bootleg Fire,2021,2021-07-06,OR,Klamath,Fort Klamath / Chemult,Fremont-Winema NF / Crater Lake vicinity,~1800-1830,42.75,-122.15,413717,593.5859375,Lightning; Fremont-Winema NF near Sky Lakes Wilderness/PCT corridor; 3rd largest fire in Oregon history; 408 structures destroyed,408,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2021 Wildfire Summary,0.3841980178
11,Creek Fire (2020),2020,2020-09-04,CA,Sierra Nevada,Shaver Lake / Big Creek / Huntington Lake,Reds Meadow / Devils Postpile (JMT/PCT corridor),~mi 906,37.191,-119.261,379895,593.5859375,Undetermined (probable lightning),856,0,500000000,Damage figure is a minimum reported estimate.,See Source #11,0.3841980178
148,North Complex Fire,2020,2020-08-17,CA,Plumas/Butte,Paradise / Quincy,Plumas NF,"~1,300–1,330",39.9,-121.3,318935,426.946875,"Lightning; 2,455 structures destroyed; 16 fatalities",2455,16,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,North Complex Fire (Wikipedia),0.2763410194
1,Cedar Fire,2003,2003-10-25,CA,Southern California,Julian / Ramona,Mt. Laguna - San Felipe Hills segment,~mi 60-90,33.017,-116.683,273246,426.946875,Signal fire set by a lost hunter,2820,15,1331000000,County-wide damage total (San Diego Co.); PCT runs ~10-20 mi west/north of core burn area.,See Source #1,0.2763410194
91,Rush,2012,2012-08-12,CA,Lassen,Old Station,Lassen NF,~1360-1420,40.55,-121.1,271911,402.053125,"Lightning; also burned into Washoe Co NV (total 315,577 ac)",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2012 California wildfires / Rush Fire (Wikipedia),0.2602285599
10,Rim Fire,2013,2013-08-17,CA,Sierra Nevada,Groveland (Stanislaus Natl Forest / Yosemite),Sonora Pass vicinity,~mi 1017,37.85,-120.083,257314,402.053125,Illegal/escaped hunter's fire,112,0,127350000,Damage figure is reported suppression cost.,See Source #10,0.2602285599
139,Carr Fire,2018,2018-07-23,CA,Shasta/Trinity,Whiskeytown / Weaverville,Shasta-Trinity NF,~1500-1520,40.85,-122.55,229651,348.63125,Sparks from vehicle tire failure; 1604 structures destroyed; 8 fatalities; $1.659B damage,1604,8,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Carr Fire (Wikipedia),0.2256512945
151,Monument Fire,2021,2021-07-30,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,~1500-1520,40.85,-123.1,223124,346.6171875,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2021 Incident Archive,0.2243476942
13,Caldor Fire,2021,2021-08-14,CA,Sierra Nevada,Grizzly Flats / South Lake Tahoe,PCT crosses directly near Echo Lake / Hwy 50,~mi 1084-1093,38.584,-120.534,221835,346.6171875,Gunfire (bullet ignition),1005,0,1200000000,Original curated entry (see Source #13 in Sources tab),See Source #13,0.2243476942
17,Lionshead Fire,2020,2020-08-16,OR,Oregon,Warm Springs / Detroit (Mt. Jefferson Wilderness),Mt. Jefferson Wilderness (PCT closed ~40 mi),~mi 2000-2040,44.72,-121.8,204469,319.4828125,Lightning,,0,,Final confirmed size per USFS PNW 2020 Wildfire Summary. Permanent PCT reroute.,See Source #17,0.2067849919
152,River Complex (2021),2021,2021-07-30,CA,Siskiyou/Trinity,Sawyers Bar / Salmon River,Klamath NF / Salmon River,~1650-1680,41.3,-123.1,199359,309.359375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2021 Incident Archive,0.2002326052
64,Witch,2007,2007-10-21,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,197990,302.4578125,"1650 structures destroyed, 2 civilian fatalities",1650,2,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.1957655744
18,Beachie Creek Fire,2020,2020-08-16,OR,Oregon,Gates / Mill City / Lyons (Santiam Canyon),"Opal Creek Wilderness, near Mt. Jefferson PCT corridor",~mi 2000-2020,44.821,-122.188,193573,302.4578125,"Lightning ignition; 2025 ODF investigation found spread was from embers, not power lines",1568,5,25200000,"Merged with Lionshead/P-515 into 402,274-acre Santiam Fire complex; totals are combined.",See Source #18,0.1957655744
71,Klamath Theater Complex,2008,2008-06-21,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,192038,298.6328125,2 firefighters killed,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.1932898463
201,Chetco Bar Fire,2017,2017-07-12,OR,Curry,Brookings,"Kalmiopsis Wilderness - coastal, west of PCT corridor","~1,690–1,709",42.35,-124.05,191125,272.153125,"Lightning; Kalmiopsis Wilderness; NEEDS DISTANCE VERIFICATION -- coastal Rogue River-Siskiyou NF, likely west of 50mi PCT corridor",,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,Chetco Bar Fire (Wikipedia),0.17615089
147,SQF Complex (Castle/Shotgun),2020,2020-08-19,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,174178,270.9265625,Lightning; 228 structures destroyed; severe giant sequoia grove damage,228,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,SQF Complex (Wikipedia),0.1753569984
192,Holiday Farm Fire,2020,2020-09-07,OR,Lane,Oakridge,Willamette NF / Waldo Lake,~1930-1960,43.75,-122.15,173393,250.9015625,"Labor Day windstorm; Willamette NF, directly on PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2020 Wildfire Summary,0.1623958333
83,Station Fire,2009,2009-08-26,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,160577,245.6703125,Arson; 2 firefighter fatalities; $94.7 million damage,,,$94.7 million,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2009 California wildfires / Station Fire (2009) Wikipedia,0.159009911
16,Slater Fire,2020,2020-09-08,CA,Northern California,Happy Camp,"Klamath Natl Forest, near PCT Seiad Valley segment",~mi 1620-1650,41.8,-123.4,157229,245.6703125,PacifiCorp power lines (per 2024 federal settlement),,,,Coordinates approximate. Structures/fatalities not independently confirmed.,See Source #16,0.159009911
140,Camp Fire,2018,2018-11-08,CA,Butte,Paradise,Plumas NF vicinity,1286.8,39.85,-121.4,153336,236.9109375,"PG&E electrical transmission line; 18,804 structures destroyed; 85 fatalities; $16.65B damage; NEEDS DISTANCE VERIFICATION vs PCT (Plumas NF adjacent)",18804,85,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,Camp Fire 2018 (Wikipedia),0.1533404126
115,Rough Fire,2015,2015-07-31,CA,Fresno,Shaver Lake / Huntington Lake,Sierra NF,~870-906,37.1,-119.1,151623,235.4625,Lightning; 4 structures destroyed,4,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2015 California wildfires / Rough Fire (Wikipedia),0.1524029126
